,company,drivertrain,exterior_color,interior_color,mile,photos,price,review_no,star,subname,title,transmission,vendor,video,year
681,Subaru,4wd,Burnished Bronze Metallic,Black,10074,26,15499,9,5.0,Forester,Subaru Forester 2.5i,6-speed,Marx Motors on First Ave,0,2016
682,Mitsubishi,4wd,Quartz Silver Metallic,Black,11811,28,15496,234,5.0,Outlander,Mitsubishi Outlander Sport ES,6-speed,White Bear Mitsubishi,1,2015
683,Mazda,4wd,Sonic Silver Metalic,Black,7827,30,23998,7,5.0,CX-5,Mazda CX-5 Grand Touring,6-speed,Walser Polar Mazda,1,2016
684,Toyota,4wd,Attitude Black Metallic,Black,30414,22,15797,82,5.0,Camry,Toyota Camry SE,6-speed,Right Buy Auto,1,2015
685,Subaru,4wd,Sky Blue Metallic,Gray,63401,31,10977,20,5.0,Forester,Subaru Forester 2.5X Premium,5-speed,Custom Cars West,1,2011
686,Hyundai,4wd,Molten Silver,Gray,32510,32,16977,20,5.0,Tucson,Hyundai Tucson SE,6-speed,Custom Cars West,1,2016
687,GMC,4wd,Summit White,Ebony,216909,32,4980,112,5.0,Acadia,GMC Acadia SLT,6-speed,Marketplace Motors,1,2007
688,GMC,4wd,Crystal Red Tintcoat,Jet Black,59224,29,36455,167,5.0,Yukon,GMC Yukon SLT,6-speed,First Choice Ford,1,2015
689,Jeep,4wd,Maximum Steel Clearcoat Metallic,Dark Slate Gray,43272,26,12690,46,5.0,Compass,Jeep Compass Latitude,6-speed,Hertz Car Sales Phoenix,1,2016
690,Mazda,4wd,Meteor Gray Mica,Black,42138,28,11999,26,5.0,Mazda3,Mazda Mazda3 i Sport,6-speed,Hertz Car Sales Norwalk,1,2016
691,Toyota,4wd,Electric Storm Blue,Ash,26372,21,23792,13,5.0,RAV4,Toyota RAV4 SE,6-speed,Norwalk Toyota,1,2016
692,Jeep,4wd,Red,Light Frost,39432,24,17998,26,5.0,Cherokee,Jeep Cherokee Limited,9-speed,Bravo Chrysler Dodge Jeep RAM,1,2017
693,Hyundai,4wd,Stormy Gray,Gray,67520,26,2880,44,5.0,Accent,Hyundai Accent GL,4-speed,Starfire Auto Inc.,1,2003
694,Acura,4wd,Gray,Parchment,20054,20,24995,6,5.0,RDX,Acura RDX Technology Package,6-speed,Center Acura,1,2015
695,Toyota,4wd,Barcelona Red Metallic,Black,42662,22,13900,27,5.0,Corolla,Toyota Corolla S Plus,4-speed,Hoblit Motors Ford,1,2014
696,Mazda,4wd,Soul Red Metallic,Black,41673,26,16792,28,5.0,Mazda3,Mazda Mazda3 i Grand Touring,6-speed,Concord Mazda,1,2015
697,Honda,4wd,Basque Red Pearl Ii,Ivory,26906,20,21951,396,5.0,Accord,Honda Accord Hybrid EX-L,6-speed,Anderson Honda,1,2015
698,Chevrolet,4wd,Black,Jet Black,35155,24,39988,58,5.0,Tahoe,Chevrolet Tahoe LT,6-speed,Silveira Buick GMC,1,2017
699,Dodge,rwd,Bright White,Black,42642,24,19488,58,5.0,Charger,Dodge Charger R/T,5-speed,Silveira Buick GMC,1,2013
700,Jeep,rwd,Granite Crystal Clearcoat Metallic,Black,15197,29,27917,12,5.0,Grand,Jeep Grand Cherokee Limited,8-speed,Phillip Hawkins Motor Company,1,2015
701,Dodge,4wd,White,Gray,155795,32,14495,11,5.0,Sprinter,Dodge Sprinter 2500,5-speed,West Ridge Auto Sales,1,2006
702,Toyota,4wd,White,Black / Blue,24206,22,17348,6,5.0,Camry,Toyota Camry SE w/Special Edition Pkg,6-speed,Ultimate Motor Cars,1,2016
703,Jeep,4wd,Maximum Steel Metallic,Dark Slate Gray,46900,25,11488,90,5.0,Patriot,Jeep Patriot Latitude,6-speed,Hertz Car Sales Orlando East,1,2016
704,Nissan,4wd,Silver,Charcoal,45437,25,8688,90,5.0,Versa,Nissan Versa Note SV,6-speed,Hertz Car Sales Orlando East,1,2016
705,Porsche,4wd,Black,Black,5643,26,50988,42,5.0,Macan,Porsche Macan S,7-speed,Hertz Car Sales Orlando,1,2016
706,GMC,4wd,Iridium Metallic,Jet Black,58195,32,19978,37,5.0,Terrain,GMC Terrain Denali,6-speed,Tampa Bay Auto Network,1,2015
707,BMW,rwd,Alpine White,Venetian Beige,43679,32,20195,445,5.0,328,BMW 328 i,8-speed,Performance Automall,0,2015
708,Jeep,rwd,Bright White Clearcoat,Indigo Blue / Brown,25137,29,30995,94,5.0,Grand,Jeep Grand Cherokee Overland,8-speed,Ridgeland Auto World,1,2015
