법정동코드,법정동명
11560120,서울특별시 영등포구 문래동2가
11560121,서울특별시 영등포구 문래동3가
11560122,서울특별시 영등포구 문래동4가
11560123,서울특별시 영등포구 문래동5가
11560124,서울특별시 영등포구 문래동6가
11560125,서울특별시 영등포구 양평동1가
11560126,서울특별시 영등포구 양평동2가
11560127,서울특별시 영등포구 양평동3가
11560128,서울특별시 영등포구 양평동4가
11560129,서울특별시 영등포구 양평동5가
11560130,서울특별시 영등포구 양평동6가
11560131,서울특별시 영등포구 양화동
11560132,서울특별시 영등포구 신길동
11560133,서울특별시 영등포구 대림동
11560134,서울특별시 영등포구 양평동
11590101,서울특별시 동작구 노량진동
11590102,서울특별시 동작구 상도동
11590103,서울특별시 동작구 상도1동
11590104,서울특별시 동작구 본동
11590105,서울특별시 동작구 흑석동
11590106,서울특별시 동작구 동작동
11590107,서울특별시 동작구 사당동
11590108,서울특별시 동작구 대방동
11590109,서울특별시 동작구 신대방동
11620101,서울특별시 관악구 봉천동
11620102,서울특별시 관악구 신림동
11620103,서울특별시 관악구 남현동
11650101,서울특별시 서초구 방배동
11650102,서울특별시 서초구 양재동
11650103,서울특별시 서초구 우면동
11650104,서울특별시 서초구 원지동
11650106,서울특별시 서초구 잠원동
11650107,서울특별시 서초구 반포동
11650108,서울특별시 서초구 서초동
11650109,서울특별시 서초구 내곡동
11650110,서울특별시 서초구 염곡동
11650111,서울특별시 서초구 신원동
11680101,서울특별시 강남구 역삼동
11680103,서울특별시 강남구 개포동
11680104,서울특별시 강남구 청담동
11680105,서울특별시 강남구 삼성동
11680106,서울특별시 강남구 대치동
11680107,서울특별시 강남구 신사동
11680108,서울특별시 강남구 논현동
11680110,서울특별시 강남구 압구정동
11680111,서울특별시 강남구 세곡동
11680112,서울특별시 강남구 자곡동
11680113,서울특별시 강남구 율현동
11680114,서울특별시 강남구 일원동
11680115,서울특별시 강남구 수서동
11680118,서울특별시 강남구 도곡동
11710101,서울특별시 송파구 잠실동
11710102,서울특별시 송파구 신천동
11710103,서울특별시 송파구 풍납동
11710104,서울특별시 송파구 송파동
11710105,서울특별시 송파구 석촌동
11710106,서울특별시 송파구 삼전동
11710107,서울특별시 송파구 가락동
11710108,서울특별시 송파구 문정동
11710109,서울특별시 송파구 장지동
11710111,서울특별시 송파구 방이동
11710112,서울특별시 송파구 오금동
11710113,서울특별시 송파구 거여동
11710114,서울특별시 송파구 마천동
11740101,서울특별시 강동구 명일동
11740102,서울특별시 강동구 고덕동
11740103,서울특별시 강동구 상일동
11740105,서울특별시 강동구 길동
11740106,서울특별시 강동구 둔촌동
11740107,서울특별시 강동구 암사동
11740108,서울특별시 강동구 성내동
11740109,서울특별시 강동구 천호동
11740110,서울특별시 강동구 강일동
26110101,부산광역시 중구 영주동
26110102,부산광역시 중구 대창동1가
26110103,부산광역시 중구 대창동2가
26110104,부산광역시 중구 중앙동1가
26110105,부산광역시 중구 중앙동2가
26110106,부산광역시 중구 중앙동3가
26110107,부산광역시 중구 중앙동4가
26110108,부산광역시 중구 중앙동5가
26110109,부산광역시 중구 중앙동6가
26110110,부산광역시 중구 중앙동7가
26110111,부산광역시 중구 동광동1가
26110112,부산광역시 중구 동광동2가
26110113,부산광역시 중구 동광동3가
26110114,부산광역시 중구 동광동4가
26110115,부산광역시 중구 동광동5가
26110116,부산광역시 중구 대청동1가
26110117,부산광역시 중구 대청동2가
26110118,부산광역시 중구 대청동3가
26110119,부산광역시 중구 대청동4가
26110120,부산광역시 중구 보수동1가
26110121,부산광역시 중구 보수동2가
26110122,부산광역시 중구 보수동3가
26110123,부산광역시 중구 부평동1가
26110124,부산광역시 중구 부평동2가
26110125,부산광역시 중구 부평동3가
26110126,부산광역시 중구 부평동4가
26110127,부산광역시 중구 신창동1가
26110128,부산광역시 중구 신창동2가
26110129,부산광역시 중구 신창동3가
26110130,부산광역시 중구 신창동4가
26110131,부산광역시 중구 창선동1가
26110132,부산광역시 중구 창선동2가
26110133,부산광역시 중구 광복동1가
26110134,부산광역시 중구 광복동2가
26110135,부산광역시 중구 광복동3가
26110136,부산광역시 중구 남포동1가
26110137,부산광역시 중구 남포동2가
26110138,부산광역시 중구 남포동3가
