,brand,drivetrain,exterior_color,interior_color,miles,model,photos,price,review_no,star,title,transmission,vendor,video,year
130,Pontiac,4wd,Ivory White,Cashmere,110422,Grand,20,4293,45,5.0,Pontiac Grand Prix GT,4-speed,Cherner Brothers Auto Brokers,1,2007
131,Chevrolet,4wd,Summit White,Jet Black,23291,Tahoe,20,42218,78,5.0,Chevrolet Tahoe LT,6-speed,Joe Ball GMC,1,2017
132,Ford,4wd,White Suede,Camel,154914,Escape,25,7995,7,5.0,Ford Escape XLT,6-speed,Sports & Imports,1,2012
133,Volkswagen,4wd,Platinum Gray Metallic,Titan Black,4326,Atlas,27,37250,38,5.0,Volkswagen Atlas 3.6L SE w/Technology,8-speed,Preston Volkswagen,1,2018
134,Dodge,4wd,Black,Black,32162,Dart,32,12985,13,5.0,Dodge Dart GT,fwd,Finest Auto Wholesale,1,2015
135,Lexus,4wd,Burgundy,Beige,96620,RX,32,9991,10,5.0,Lexus RX 350 Base,6-speed,iDrive Motors,1,2008
136,Chevrolet,4wd,Black,Black,70223,Tahoe,30,17991,10,5.0,Chevrolet Tahoe LT 4x4 4dr SUV w/2LT,6-speed,iDrive Motors,1,2009
137,Ford,4wd,Green,Tan,41540,Explorer,26,23998,7,5.0,Ford Explorer XLT,6-speed,CarMax White Marsh,1,2015
138,Ford,4wd,Estate Green Clearcoat Metallic,Medium Parchment,154988,Expedition,28,5461,49,5.0,Ford Expedition Eddie Bauer,4-speed,Fieldhouse Ford Sales,1,2006
139,Mercedes-Benz,4wd,Black,Black,92558,ML,31,19999,125,5.0,Mercedes-Benz ML 350 4MATIC,7-speed,Reliable Hyundai,0,2014
140,Chevrolet,4wd,Black,Black,100761,Avalanche,32,23995,11,5.0,Chevrolet Avalanche LTZ,6-speed,William H. Wessels,1,2013
141,Lexus,4wd,Silver,Gray,92117,ES,28,9900,32,5.0,Lexus ES 350,6-speed,Bobby Rahal Toyota Lexus of Lewistown,1,2010
142,Nissan,4wd,Dark Slate,Gray,95926,Altima,29,6499,11,5.0,Nissan Altima 2.5 S,6-speed,I-80 Auto Sales,1,2008
143,Buick,4wd,Burgundy,Beige,92259,Enclave,31,11999,11,5.0,Buick Enclave CXL,6-speed,I-80 Auto Sales,1,2008
144,Acura,4wd,Gray,Ebony,1702,ILX,29,13975,6,5.0,Acura ILX 2.0L Technology,5-speed,Summit Auto Center,0,2013
145,Toyota,4wd,Millenium Silver Metallic,Gray,257790,Highlander,32,3795,434,5.0,Toyota Highlander Limited,6-speed,RideSmart Auto,1,2004
146,Hummer,4wd,Pewter Metallic,Ebony,60022,H2,36,28000,64,5.0,Hummer H2 Base,4-speed,Napleton's Aston Martin of Chicago,1,2007
147,BMW,4wd,Black Sapphire Metallic,Black,29081,435,42,27500,64,5.0,BMW 435 i xDrive,8-speed,Napleton's Aston Martin of Chicago,1,2014
148,Audi,4wd,Ibis White,Black,6403,A4,55,43000,64,5.0,Audi A4 allroad 2.0T Premium quattro,6-speed,Napleton's Aston Martin of Chicago,1,2017
149,BMW,rwd,Estoril Blue Metallic,Black,8134,M240,42,41400,64,5.0,BMW M240 i,6-speed,Napleton's Aston Martin of Chicago,1,2017
150,Chevrolet,4wd,Iridescent Pearl Tricoat,Jet Black,27561,Suburban,32,56986,273,5.0,Chevrolet Suburban Premier,6-speed,Jerry Haggerty Chevrolet,1,2017
151,Mercedes-Benz,4wd,Black,Nut Browm,26641,GLA,32,22995,12,5.0,Mercedes-Benz GLA 250 4MATIC,7-speed,Midwest Car Connect,1,2015
152,Dodge,rwd,Pitch Black Clearcoat,Black,8725,Challenger,43,37998,46,5.0,Dodge Challenger R/T 392,6-speed,BMW of Turnersville,1,2018
